"FLG_RELATO_TORTURA","SIG_UF_ORIGEM_AUDIENCIA","ANO","MES","NUM_AUDIENCIAS"
N,PR,2011,7,2
S,PI,2017,9,8
N,PA,2013,9,1
N,PA,1977,3,1
S,GO,2018,5,58
N,RO,2009,12,2
N,GO,2017,10,566
S,PI,2017,10,12
S,CE,2017,10,21
N,RS,2012,4,3
N,PR,2003,2,1
N,PI,2019,5,446
N,MT,2011,6,1
N,PR,2012,1,2
N,SP,2022,3,25
N,,2006,3,9
N,MG,2017,11,263
N,,1981,10,3
N,,1980,11,3
N,SP,1984,3,2
N,AC,1981,6,1
N,CE,2015,7,1
S,SE,2017,11,7
N,MT,2013,1,2
S,,2017,12,256
N,AC,2017,12,97
N,,1994,9,6
N,MA,2017,12,119
N,,1990,8,5
N,,1987,4,2
S,RO,2017,12,5
N,SP,1986,7,2
N,,1976,11,3
N,PI,2018,1,169
N,,1981,4,2
N,,1976,7,1
N,MG,2018,1,214
S,PR,2018,1,54
S,GO,2018,1,46
N,SP,1978,1,1
N,SP,1989,4,4
N,SP,1986,5,1
N,PB,2012,3,2
N,,2004,7,3
N,,1941,5,1
N,,1980,1,2
N,PE,2018,2,129
S,PR,2018,2,34
N,,2009,8,9
N,PI,1990,7,1
N,SE,2018,6,231
N,SP,1986,6,1
N,,2008,1,7
N,PR,1993,5,1
N,MG,2018,3,288
N,MT,2018,3,187
N,RS,2018,3,164
S,MG,2018,3,17
N,,1991,4,2
S,PI,2018,3,17
N,MT,2014,8,2
N,SP,1994,1,3
S,PB,2018,3,6
N,,2019,6,4124
N,SP,2009,1,3
N,PR,1981,3,1
N,PA,2014,3,3
N,PR,2018,4,1350
N,MA,2018,4,130
N,MT,2014,12,1
N,SP,1992,8,1
S,PB,2018,4,6
N,GO,1993,7,1
N,MT,2011,5,2
N,MA,2014,4,1
N,PR,2019,1,1044
N,MT,2015,9,1
N,PR,2001,4,1
N,PI,2018,10,183
N,,1978,11,3
N,SP,2013,4,3
S,,2018,5,166
S,MA,2018,5,15
S,MG,2018,5,11
N,PB,2006,11,2
N,SP,1972,7,3
N,RO,1997,1,1
N,SC,1994,7,1
N,SP,1990,3,3
N,,2003,6,4
S,PB,2018,6,9
N,SP,1981,4,1
N,PA,2018,7,731
N,SP,1993,2,2
N,RS,2018,7,149
N,PB,2018,7,282
N,MT,2018,7,156
S,MG,2018,7,5
N,,1977,9,1
N,,2003,4,3
N,CE,2001,8,1
N,CE,2013,7,2
N,PR,2008,8,1
N,PR,1990,11,1
N,PE,1988,3,1
N,SP,2022,12,3658
N,,1966,9,2
N,CE,2018,8,615
N,PB,1996,12,1
N,MT,2018,8,186
N,SE,2018,8,139
N,SP,1985,11,1
N,PR,2019,9,890
N,SC,2015,8,4
N,PB,2004,10,1
N,PB,2018,9,335
N,SC,2018,9,260
S,PA,2018,9,48
N,SP,1982,12,2
N,GO,2018,11,534
N,SP,1986,3,3
N,MT,1981,8,1
N,GO,2011,3,2
S,AL,2018,9,3
S,PE,2018,9,1
N,AC,2019,1,105
N,SP,1999,12,3
N,MT,2018,10,364
S,SP,2018,10,117
N,DF,2018,10,42
S,GO,2018,10,48
N,PE,2018,10,211
N,RJ,2018,10,2
N,,1971,7,1
N,RS,2011,6,3
N,GO,2015,3,1
N,,1982,12,2
N,CE,2014,8,2
N,PA,2010,10,1
N,BA,2014,12,1
N,AP,2018,11,68
N,MA,2014,7,1
N,GO,2013,11,3
N,RS,2014,4,3
N,MT,2014,11,1
N,PE,2015,11,1
N,AP,1994,2,1
N,RO,1979,9,1
N,PR,2005,10,1
N,RS,2019,10,1083
N,SE,2018,12,179
N,BA,2018,12,243
N,GO,2018,12,373
S,BA,2018,12,33
S,PR,2018,12,26
N,PR,1988,6,1
N,RS,2004,7,2
N,,1987,8,2
N,GO,2014,5,2
N,PA,1996,8,1
N,AP,2019,1,109
N,PI,2019,1,219
S,BA,2019,1,55
S,AC,2019,1,13
S,MT,2019,1,18
N,DF,2013,5,1
N,MG,1994,4,1
S,MG,2019,2,25
N,TO,2019,2,28
N,MT,2019,2,445
S,PA,2019,2,60
N,DF,2019,2,25
N,SP,1975,12,1
N,RS,2000,4,1
N,PR,1996,10,1
N,MT,2012,4,1
N,RS,2013,1,7
N,,1984,10,3
N,SP,2012,2,1
N,CE,2019,12,594
N,AC,2019,3,50
S,BA,2019,3,53
N,TO,2019,3,48
N,,1991,3,3
N,SP,1977,11,1
N,MT,2011,8,1
S,PI,2019,3,13
N,SC,1971,9,1
N,CE,1991,11,1
N,CE,1989,12,1
N,GO,2007,8,2
N,PI,2019,4,327
N,PR,2019,4,868
N,AP,2019,4,98
S,TO,2019,2,1
S,,2019,4,174
N,AC,2019,4,49
S,MG,2019,4,24
N,RS,2012,11,4
N,CE,2016,4,3
S,PB,2019,4,2
N,SP,1999,6,1
S,AP,2019,4,3
N,CE,1979,9,1
N,AL,2015,5,1
N,CE,1995,4,2
N,CE,1977,10,1
N,GO,2007,9,1
S,PR,2019,5,24
N,BA,2019,5,332
N,AC,2019,5,61
S,CE,2019,5,122
S,RO,2019,5,9
N,RS,1984,8,1
S,PB,2019,5,7
N,SC,1999,4,1
N,GO,1995,6,2
N,SP,2000,9,2
N,PR,2019,6,841
N,,2010,1,9
N,SE,1993,7,1
N,,2007,10,1
N,GO,2019,6,427
S,PA,2019,6,57
N,SP,1975,10,1
S,PA,1990,11,1
N,PI,2010,6,1
N,RS,2007,7,2
N,CE,2012,7,3
N,AP,1997,5,1
N,SC,1964,3,1
S,PA,2019,7,60
N,MG,2015,10,2
N,,1978,7,2
S,AL,2019,7,11
N,TO,2019,7,18
N,,2001,4,2
N,RS,2009,2,1
N,GO,1990,7,1
N,RS,2009,12,1
N,RS,2006,6,1
N,PA,1969,4,1
N,CE,1996,7,2
N,,2005,2,3
N,CE,1997,11,1
N,MT,2019,8,202
S,RS,2019,8,58
N,TO,2019,8,18
